건물데이터,,,,,,,,,,,,,
건물ID,이름_한글,이름_영어,설명_한글,설명_영어,생산재료ID,건물 가격,필요재료ID,필요 재료 개수,준비 시간 비율,"생산 시간입니다.{val1, val2, val3}로 리스트를 표시합니다",생산 시간 업그레이드 가격,재료 스택 개수,재료 스택 개수 업그레이드 비용
ID,Name_KR,Name_EN,Description_KR,Description_EN,ProductID,Cost,RequireProdID,RequireProdCount,PrepareTimeRate,Stat_ProdTime,Stat_ProdTimeCost,Stat_Capacity,Stat_CapacityCost
string,string,string,string,string,string,float,string,int,float,string,string,string,string
b10011,별꽃 재배기,Starflower Cultivator,$천재 발명가가 설계했다는 소문이 있는 재배기. 서늘한 빛과 독특한 습도를 유지하며 씨앗속에 숨겨진 행복을 깨웁니다$,"$A cultivator rumored to have been designed by a back-alley genius. It doesn't just grow flowers, it cultivates good vibes.$",it10011,1000,none,0,0,"${20, 17, 14, 12, 10, 8, 6, 5, 4, 3}$","${200, 400, 2000, 5500, 12500, 25000, 45000, 65000, 100000}$",${}$,${}$
b10111,별꿀 증류기,Star Honey Distiller,"$별꽃의 행복만을 뽑아내는 증류기. 별꽃을 가열해 기화시킨 뒤, 가장 순수한 행복의 향기만을 모읍니다. 별꽃 3개를 별꿀 1개로 만듭니다. $ ","$This distiller extracts only the purest happiness from the Starflower, creating a golden liquid. Make a Star Honey from 3 Starflowers$",it10111,2000,it10011,3,0.85,"${5, 4, 3, 2.3, 1.7, 1.2, 0.9, 0.7, 0.5, 0.3}$","${500, 1000, 2000, 6000, 13000, 25000, 42500, 68000, 100000}$","${3, 6, 9}$","${5000, 30000}$"
b10121,별꽃 건조기,Starflower Curing machine,$행복이 피어나는 별꽃의 시간을 천천히 붙잡아두는 작은 다락방. 행복을 피우기 더 좋게 만듭니다. 별꽃 1개를 건조한 별꽃으로 만듭니다.$,$A small attic that slowly captures the time of a freshly bloomed Stardew Flower. Make a Cured Flower from a Starflower.$,it10121,1000,it10011,1,0.2,"${20, 16, 13, 10, 8, 7, 5.5, 4.5, 3.5, 3}$","${2000, 3000, 6000, 18000, 40000, 75000, 125000, 200000, 300000}$","${3, 5, 7, 10, 15}$","${5000, 10000, 25000, 60000}$"
b10122,별가루 포장기,Star powder wrapping machine,"$톡, 탁, 슥! 건조된 꽃잎을 순식간에 고운 입자로 만들고, 공기가 통하지 않는 봉투에 진공 포장하여 신선함을 지켜줍니다. 친한 친구한테 선물할 때 최고!  건조 별꽃 3개를 별가루 봉투 1개로 만듭니다.$","$Click, Clack, Zip! It instantly turns dried petals into a fine powder and vacuum-seals them in an airtight bag to lock in freshness. Perfect for secret gift to your best bud! Make a Star Powder Bag from 5 Cured Flowers$",it10122,2500,it10121,5,0.85,"${10, 8, 6, 4, 3}$","${10000, 25000, 60000, 150000}$","${5, 10, 20}$","${35000, 90000}$"
b10131,별젤리 제작소,Star Soft Candy maker,$별꿀을 젤리로 드셔보세요. 언제 어디서든 먹을 수 있는 휴대용 벌꿀! 별꽃입문자에게 추천합니다! 별 꿀 1개를 별젤리 1개로 만듭니다.$,"$Mmm…Star Honey Soft Candy! It's Perfectly edible and best for first step. Anytime, Anywhere.$",it10131,5000,it10111,1,0.9,"${5, 4, 3, 2}$","${20000, 50000, 120000}$","${8, 12, 20, 40}$","${65000, 150000, 320000}$"
b10132,별얼음 제조기,Star Crystal maker,"$별꿀을 동결건조시켜 별얼음을 만듭니다. 달지는 않지만, 결정이 부숴질때마다 나오는 향기는 무엇보다 짜릿하죠! 좋은 음식은 코로 즐기는 법. 별꿀 5개를 별얼음 1개로 만듭니다.$","$Frozen star honey just looks like a crystal. When you crush the honey, it just hits differently. Make a bee-line and have a deep breath for the shock$",it10132,10000,it10111,5,0.2,"${30, 25, 20, 15}$","${40000, 100000, 225000}$","${5, 10, 15, 25}$","${80000, 180000, 380000}$"
b10133,별꽃쿠키 오븐,Star Cookie Oven,$별가루를 잔뜩 넣어 쿠키를 구워요! 달콤한데 행복하기까지! 우리 어머니도 좋아해요! 별가루봉투 2개를 별꽃쿠키 1개로 만듭니다.$,$Oven that makes Star Cookie. Grandma's Secret ingredient? It's Love and Star Powder.$,it10133,15000,it10122,2,0.3,"${30, 22, 15}$","${60000, 150000}$","${6, 10, 20}$","${250000, 600000}$"
b10011_Tuto,별꽃 재배기,Starflower Cultivator,$천재 발명가가 설계했다는 소문이 있는 재배기. 서늘한 빛과 독특한 습도를 유지하며 씨앗속에 숨겨진 행복을 깨웁니다$,"$A cultivator rumored to have been designed by a back-alley genius. It doesn't just grow flowers, it cultivates good vibes.$",it10011,0,none,0,0,"${20, 17, 14, 12, 10, 8, 6, 5, 4, 3}$","${0, 0, 0, 0, 12500, 25000, 45000, 65000, 100000}$",${}$,${}$
b10111_Tuto,별꿀 증류기,Star Honey Distiller,"$별꽃의 행복만을 뽑아내는 증류기. 별꽃을 가열해 기화시킨 뒤, 가장 순수한 행복의 향기만을 모읍니다. 별꽃 3개를 별꿀 1개로 만듭니다. $ ","$This distiller extracts only the purest happiness from the Starflower, creating a golden liquid. Make a Star Honey from 3 Starflowers$",it10111,2000,it10011,1,0.85,"${2.2, 2, 2, 2.3, 1.7, 1.2, 0.9, 0.7, 0.5, 0.3}$","${500, 1000, 2000, 6000, 13000, 25000, 42500, 68000, 100000}$","${12, 12, 12}$","${5000, 30000}$"
