건물 텍스트 Localization,,,,
건물ID,이름_KR,이름_EN,설명_KR,설명_EN
ID,Name_Korean,Name_English,Description_Korean,Description_English
string,string,string,string,string
b10011_Tuto,별꽃 재배기,Starflower Cultivator,$천재 발명가가 설계했다는 소문이 있는 재배기. 서늘한 빛과 독특한 습도를 유지하며 씨앗속에 숨겨진 행복을 깨웁니다$,"$A cultivator rumored to have been designed by a back-alley genius. It doesn't just grow flowers, it cultivates good vibes.$"
b10011,별꽃 재배기,Starflower Cultivator,$천재 발명가가 설계했다는 소문이 있는 재배기. 서늘한 빛과 독특한 습도를 유지하며 씨앗속에 숨겨진 행복을 깨웁니다$,"$A cultivator rumored to have been designed by a back-alley genius. It doesn't just grow flowers, it cultivates good vibes.$"
b10111,별꿀 증류기,Star Honey Distiller,"$별꽃의 행복만을 뽑아내는 증류기. 별꽃을 가열해 기화시킨 뒤, 가장 순수한 행복의 향기만을 모읍니다. 별꽃 3개를 별꿀 1개로 만듭니다. $ ","$This distiller extracts only the purest happiness from the Starflower, creating a golden liquid. Make a Star Honey from 3 Starflowers$"
b10121,별꽃 건조기,Starflower Curing machine,$행복을 피우는 별꽃의 시간을 천천히 붙잡아두는 작은 다락방. 보다 행복을 피우기 좋게 만듭니다. 별꽃 1개를 건조한 별꽃으로 만듭니다.$,$A small attic that slowly captures the time of a freshly bloomed Stardew Flower. Make a Cured Flower from a Starflower.$
b10122,별가루 포장기,Star powder wrapping machine,"$톡, 탁, 슥! 건조된 꽃잎을 순식간에 고운 입자로 만들고, 공기가 통하지 않는 봉투에 진공 포장하여 신선함을 지켜줍니다. 친한 친구한테 몰래 선물할 때 최고!  건조 별꽃 5개를 별가루 봉투 1개로 만듭니다.$","$Click, Clack, Zip! It instantly turns dried petals into a fine powder and vacuum-seals them in an airtight bag to lock in freshness. Perfect for secret gift to your best bud! Make a Star Powder Bag from 5 Cured Flowers$"
b10131,별젤리 제작소,Star Soft Candy maker,$별꿀을 젤리로 드셔보세요. 언제 어디서든 먹을 수 있는 휴대용 벌꿀! 별꽃입문자에게 추천합니다! 별 꿀 1개를 별젤리 1개로 만듭니다.$,"$Mmm…Star Honey Soft Candy! It's Perfectly edible and best for first step. Anytime, Anywhere.$"
b10132,별얼음 제조기,Star Crystal maker,"$별꿀을 동결건조시켜 별얼음을 만듭니다. 달지는 않지만, 결정이 부숴질때마다 나오는 향기는 무엇보다 짜릿하죠! 좋은 음식은 코로 즐기는 법. 별꿀 5개를 별얼음 1개로 만듭니다.$","$Frozen star honey just looks like a crystal. When you crush the honey, it just hits differently. Make a bee-line and have a deep breath for the shock$"
b10133,별꽃쿠키 오븐,Star Cookie Oven,$별가루를 잔뜩 넣어 쿠키를 구워요! 달콤한데 행복하기까지! 우리 어머니도 좋아해요! 별가루봉투 2개를 별꽃쿠키 1개로 만듭니다.$,$Oven that makes Star Cookie. Grandma's Secret ingredient? It's Love and Star Powder.$
